batch_id,calibration*mic,config,configVer,data*LAeq,data*co2,data*humidity,data*humidityRH,data*no2,dataNoise0,dataNoise1,dataNoise10,dataNoise11,dataNoise12,dataNoise13,dataNoise14,dataNoise15,dataNoise16,dataNoise17,dataNoise18,dataNoise19,dataNoise2,dataNoise20,dataNoise21,dataNoise22,dataNoise23,dataNoise24,dataNoise25,dataNoise26,dataNoise27,dataNoise28,dataNoise29,dataNoise3,dataNoise30,dataNoise31,dataNoise32,dataNoise33,dataNoise34,dataNoise35,dataNoise36,dataNoise37,dataNoise38,dataNoise39,dataNoise4,dataNoise40,dataNoise41,dataNoise42,dataNoise43,dataNoise44,dataNoise45,dataNoise46,dataNoise47,dataNoise48,dataNoise49,dataNoise5,dataNoise50,dataNoise51,dataNoise52,dataNoise53,dataNoise54,dataNoise55,dataNoise56,dataNoise57,dataNoise58,dataNoise59,dataNoise6,dataNoise60,dataNoise61,dataNoise62,dataNoise63,dataNoise64,dataNoise65,dataNoise66,dataNoise67,dataNoise68,dataNoise69,dataNoise7,dataNoise70,dataNoise71,dataNoise72,dataNoise73,dataNoise74,dataNoise75,dataNoise76,dataNoise8,dataNoise9,data*particles,data*temperature,data*temperatureTC,location,measured_time,meta*no2*gaz,meta*no2*lifetime,meta*no2*serial,meta*noise*gain,meta*noise*offset,meta*noise*sensibility,meter_code,park_code,serial,timestamp,version
181027130034,,SOLIHULL_20181003,181003150447,6792,,44504,78.884643554688,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,18,11,13,19,24,20,38,29,48,57,0,71,90,95,100,86,59,59,24,17,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5475,19612,5.7351538085938,"52.408861,-1.825003",2018-10-27 12:45:00+00:00,,,,,,,521,220,800044,1989-03-03 12:45:00,1
181027131531,,SOLIHULL_20181003,181003150447,6815,,44796,79.44158935546899,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,12,23,29,27,30,22,36,37,52,0,58,69,82,100,89,118,72,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6063,19532,5.5206518554687,"52.408861,-1.825003",2018-10-27 13:00:00+00:00,,,,,,,521,220,800044,1989-03-03 13:00:00,1
181027133030,,SOLIHULL_20181003,181003150447,6898,,45300,80.40289306640601,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,9,9,14,13,19,31,33,54,0,70,82,85,85,107,99,93,54,20,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3987,19468,5.3490502929687,"52.408861,-1.825003",2018-10-27 13:15:00+00:00,,,,,,,521,220,800044,1989-03-03 13:15:00,1
181027134531,,SOLIHULL_20181003,181003150447,6879,,46608,82.897705078125,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,16,34,45,38,58,0,67,79,86,94,114,99,85,37,16,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3546,19348,5.0272973632812,"52.408861,-1.825003",2018-10-27 13:30:00+00:00,,,,,,,521,220,800044,1989-03-03 13:30:00,1
181027140140,,SOLIHULL_20181003,181003150447,6999,,47596,84.78216552734399,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,10,6,12,22,14,28,0,36,64,94,88,121,104,125,82,47,16,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3324,19332,4.9843969726562,"52.408861,-1.825003",2018-10-27 13:45:00+00:00,,,,,,,521,220,800044,1989-03-03 13:45:00,1
181027143032,,SOLIHULL_20181003,181003150447,7051,,48080,85.705322265625,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,6,9,20,25,21,34,0,37,53,70,82,104,107,106,93,56,37,0,22,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6192,19336,4.9951220703125,"52.408861,-1.825003",2018-10-27 14:00:00+00:00,,,,,,,521,220,800044,1989-03-03 14:00:00,1
181027143032,2108.0,SOLIHULL_20181003,181003150447,6974,,48556,86.61322021484399,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,6,13,3,9,10,11,29,19,26,31,0,48,47,66,109,126,109,101,54,40,28,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8466,19368,5.0809228515625,"52.408861,-1.825003",2018-10-27 14:15:00+00:00,CNB,86.0,3798.0,110.0,3.0,2108.0,521,220,800044,1989-03-03 14:15:00,1
181027144532,,SOLIHULL_20181003,181003150447,6968,,48224,85.97998046875,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,7,7,7,8,15,21,20,39,0,57,77,87,99,114,117,87,66,39,16,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6096,19396,5.1559985351563,"52.408861,-1.825003",2018-10-27 14:30:00+00:00,,,,,,,521,220,800044,1989-03-03 14:30:00,1
181027153032,,SOLIHULL_20181003,181003150447,6932,,47988,85.52984619140601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,1,4,15,14,19,13,25,34,25,47,0,56,48,82,94,96,110,94,74,23,10,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5517,19416,5.2096240234375,"52.408861,-1.825003",2018-10-27 14:45:00+00:00,,,,,,,521,220,800044,1989-03-03 14:45:00,1
181027153032,,SOLIHULL_20181003,181003150447,6929,,47216,84.057373046875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,8,16,14,21,31,31,45,0,50,62,99,105,112,127,83,51,19,9,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9630,19420,5.2203491210937,"52.408861,-1.825003",2018-10-27 15:00:00+00:00,,,,,,,521,220,800044,1989-03-03 15:00:00,1
